,User,Level_of_Study,Year_of_Course,Registration_Status,Course_Title,Course_Code,Teaching_Sessions,Attended,Explained_Absences,Non_Attendance,Percentage_Attendance,Percentage_Attendance_Unexcused,Last_Attendence,Assessments,Submitted,Explained_Non_Submission,Non_Submission,Within_Late_Period_Flag,Percentage_Submitted,Last_Submitted,Academic_Advising_Sessions,Attended_AA,Explained_Non_Attendances_AA,Non_Attendances_AA,Attendance_Not_Recorded_AA,Percentage_Attendance_AA,Last_Attended_AA
2110,42607696.0,UG,3.0,REGISTERED,Computer Engineering,H6001U,3.0,1.0,1.0,1.0,0.333333333333333,0.666666666666667,2017-10-27T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2111,43210822.0,UG,2.0,REGISTERED,Mechanical Engineering,H3002U,20.0,12.0,0.0,8.0,0.6,0.6,2017-11-02T17:00:00.000000,2.0,2.0,0.0,0.0,0.0,1.0,2017-11-01T13:02:33.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2112,43423118.0,PGT,1.0,REGISTERED,Adv Mech Eng,H3501T,15.0,15.0,0.0,0.0,1.0,1.0,2017-11-06T15:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2113,43002066.0,UG,3.0,REGISTERED,Computing for Bus and Mgmt,GH561U,10.0,1.0,1.0,8.0,0.1,0.2,2017-10-27T12:59:59.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2114,43429438.0,PGT,1.0,REGISTERED,Intel and Adap Sys,G5Q32T,17.0,11.0,0.0,6.0,0.647058823529412,0.647058823529412,2017-11-06T11:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2115,43208152.0,UG,2.0,REGISTERED,Mechanical Engineering (IP),H32F0U,20.0,11.0,0.0,9.0,0.55,0.55,2017-11-06T11:00:00.000000,2.0,2.0,0.0,0.0,0.0,1.0,2017-11-02T14:05:48.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2116,43409106.0,UG,0.0,REGISTERED,Crtve Tech and Dgn with FY,W2002U,18.0,12.0,0.0,6.0,0.666666666666667,0.666666666666667,2017-11-03T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2117,43436866.0,PGT,1.0,REGISTERED,Engineering Business Managemnt,H9000T,19.0,16.0,1.0,2.0,0.842105263157895,0.894736842105263,2017-11-06T15:59:59.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,1.0,1.0,0.0,0.0,0.0,1.0,2017-11-06T00:00:00.000000
2118,43209686.0,UG,2.0,TWD-PERSONAL,Mechanical Engineering,H3006U,19.0,2.0,0.0,17.0,0.105263157894737,0.105263157894737,2017-10-17T14:00:00.000000,2.0,0.0,0.0,2.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2119,43408710.0,UG,0.0,REGISTERED,Comp Sci (FDN),G5009U,38.0,34.0,1.0,3.0,0.894736842105263,0.921052631578947,2017-11-06T12:59:59.999000,2.0,2.0,0.0,0.0,0.0,1.0,2017-11-02T10:35:20.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2120,43402588.0,UG,1.0,REGISTERED,Mechanical Engineering (IP),H32F0U,27.0,18.0,0.0,9.0,0.666666666666667,0.666666666666667,2017-11-06T12:00:00.000000,4.0,4.0,0.0,0.0,0.0,1.0,2017-10-27T15:05:30.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2121,43402414.0,UG,0.0,REGISTERED,Comp Sci (FDN),G5009U,38.0,34.0,2.0,2.0,0.894736842105263,0.947368421052632,2017-11-06T12:59:59.999000,2.0,2.0,0.0,0.0,0.0,1.0,2017-11-02T10:34:11.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2122,43001838.0,UG,2.0,REGISTERED,Computer Science,G5001U,16.0,10.0,0.0,6.0,0.625,0.625,2017-11-06T12:59:59.999000,2.0,2.0,0.0,0.0,0.0,1.0,2017-11-03T16:30:52.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2123,43434720.0,PGT,1.0,REGISTERED,Robotics and Autonomous System,H6519T,25.0,24.0,1.0,0.0,0.96,1.0,2017-11-06T12:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,1.0,1.0,0.0,0.0,0.0,1.0,2017-10-16T00:00:00.000000
2124,43202580.0,UG,2.0,REGISTERED,Computer Science,G5001U,12.0,10.0,0.0,2.0,0.833333333333333,0.833333333333333,2017-11-03T12:59:59.999000,2.0,2.0,0.0,0.0,0.0,1.0,2017-11-02T16:17:57.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2125,43402826.0,UG,1.0,REGISTERED,Comp Sci (IP),G40F0U,26.0,14.0,0.0,12.0,0.538461538461538,0.538461538461538,2017-11-06T15:00:00.000000,1.0,1.0,0.0,0.0,0.0,1.0,2017-11-03T13:28:27.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2126,43402876.0,UG,1.0,REGISTERED,Mechanical Engineering,H3006U,28.0,18.0,0.0,10.0,0.642857142857143,0.642857142857143,2017-11-06T12:00:00.000000,4.0,4.0,0.0,0.0,0.0,1.0,2017-10-27T14:57:33.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2127,43209870.0,UG,1.0,REGISTERED,Product Design (IP),H7006U,19.0,17.0,1.0,1.0,0.894736842105263,0.947368421052632,2017-11-06T15:00:00.000000,1.0,1.0,0.0,0.0,0.0,1.0,2017-10-25T22:45:21.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2128,43402410.0,UG,1.0,REGISTERED,Mechanical Engineering,H3002U,27.0,19.0,0.0,8.0,0.703703703703704,0.703703703703704,2017-10-31T11:00:00.000000,4.0,4.0,0.0,0.0,0.0,1.0,2017-10-27T15:39:42.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2129,43001862.0,UG,2.0,REGISTERED,Comp Sci and AI,G5005U,14.0,10.0,0.0,4.0,0.714285714285714,0.714285714285714,2017-11-03T14:00:00.000000,2.0,2.0,0.0,0.0,0.0,1.0,2017-10-31T14:04:54.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2130,43402640.0,UG,1.0,REGISTERED,Product Design (IP),H7006U,19.0,14.0,0.0,5.0,0.736842105263158,0.736842105263158,2017-11-06T15:00:00.000000,1.0,1.0,0.0,0.0,0.0,1.0,2017-10-24T19:51:49.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2131,43202644.0,UG,1.0,REGISTERED,Comp Sci and AI,G5005U,25.0,11.0,0.0,14.0,0.44,0.44,2017-11-03T11:00:00.000000,1.0,1.0,0.0,0.0,0.0,1.0,2017-11-02T12:54:35.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2132,43405064.0,UG,1.0,REGISTERED,Computing for Digital Media,G5020U,26.0,17.0,0.0,9.0,0.653846153846154,0.653846153846154,2017-11-06T09:00:00.000000,1.0,1.0,0.0,0.0,0.0,1.0,2017-11-02T14:08:26.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
